State,Year,Homeless,Population,Homeless.Percentage,Inequality,Unemployment.rate,Tot Assist & Subsidies,Gov.assist.per.capita,Housing.cost,Inequa_Unempl
AK,2009,1992,698895,28.50213551,0.411,7.7,"$224,899",112.9,414.03,3.1647
AK,2010,1863,713982,26.09309478,0.422,7.9,"$211,912",113.7,412.19,3.3338
AK,2011,2128,722349,29.45944412,0.4099,7.6,"$211,438",99.4,414.24,3.11524
AK,2012,1913,730810,26.17643437,0.4232,7.1,"$210,242",109.9,415.01,3.00472
AK,2013,1946,737626,26.38193339,0.4083,7.0,"$214,236",110.1,425.95,2.8581
AK,2014,1784,737075,24.20377845,0.4175,6.9,"$212,211",119.0,436.57,2.88075
AK,2015,1956,738430,26.48863129,0.4322,6.5,"$214,702",109.8,450.47,2.8093
AK,2016,1940,742575,26.12530721,0.4081,6.9,"$167,279",86.2,458.83,2.81589
AK,2017,1845,740983,24.89935667,0.4241,7.0,"$167,586",90.8,464.88,2.9687
AK,2018,2016,736624,27.36810096,0.4322,6.6,"$161,452",80.1,471.38,2.85252
AK,2019,1907,733603,25.99498639,0.4376,5.4,"$156,846",82.2,481.54,2.36304
AK,2020,1949,731158,26.65634514,0.4174,7.8,"$175,501",90.0,492.85,3.25572
AL,2009,6080,4757938,12.77864487,0.471,11.0,"$571,071",93.9,367.3,5.181
AL,2010,6046,4785514,12.63396158,0.472,10.5,"$643,609",106.5,351.54,4.956
AL,2011,5558,4799642,11.58003034,0.4735,9.6,"$650,594",117.1,339.65,4.5456
AL,2012,5209,4816632,10.81461071,0.4726,8.0,"$2,224,384",427.0,334.6,3.7808
AL,2013,4689,4831586,9.704887795,0.4752,7.2,"$2,265,379",483.1,332.68,3.42144
AL,2014,4561,4843737,9.416283337,0.4758,6.8,"$2,175,837",477.1,337.31,3.23544
AL,2015,3970,4854803,8.177468787,0.4811,6.1,"$2,240,301",564.3,344.96,2.93471
AL,2016,4111,4866824,8.446987193,0.4847,5.8,"$2,205,699",536.5,354.16,2.81126
AL,2017,3793,4877989,7.775745292,0.4768,4.4,"$910,950",240.2,365.24,2.09792
AL,2018,3434,4891628,7.020157706,0.4859,3.9,"$966,305",281.4,381.48,1.89501
AL,2019,3261,4907965,6.644301661,0.4741,3.0,"$1,012,904",310.6,398.62,1.4223
AL,2020,3351,4921532,6.808855454,0.4769,5.9,"$1,076,697",321.3,414.49,2.81371
AR,2009,2852,2896843,9.845200448,0.459,7.8,"$329,388",115.5,365.33,3.5802
AR,2010,2762,2921998,9.452436312,0.458,8.2,"$376,310",136.2,355,3.7556
AR,2011,3424,2941038,11.64214811,0.4684,8.3,"$639,537",186.8,349.05,3.88772
AR,2012,4214,2952876,14.27083291,0.4632,7.6,"$554,637",131.6,348.72,3.52032
AR,2013,3812,2960459,12.87638167,0.4685,7.2,"$563,172",147.7,352.89,3.3732
AR,2014,2936,2968759,9.889654229,0.4714,6.0,"$521,305",177.6,358.16,2.8284
AR,2015,2560,2979732,8.591376674,0.4773,5.0,"$510,115",199.3,366.35,2.3865
AR,2016,2463,2991815,8.232460897,0.4719,4.0,"$509,322",206.8,375.29,1.8876
AR,2017,2467,3003855,8.212779911,0.4725,3.7,"$485,666",196.9,388.52,1.74825
AR,2018,2712,3012161,9.003502801,0.4845,3.7,"$494,159",182.2,404.7,1.79265
AR,2019,2717,3020985,8.993755348,0.475,3.5,"$496,712",182.8,418.04,1.6625
AR,2020,2366,3030522,7.807235849,0.47,6.1,"$529,113",223.6,429.45,2.867
AZ,2009,14721,6343154,23.20769762,0.451,9.9,"$691,056",46.9,480.64,4.4649
AZ,2010,13711,6407342,21.39888896,0.455,10.4,"$699,420",51.0,417.85,4.732
AZ,2011,10504,6473416,16.22636333,0.46,9.5,"$722,565",68.8,375.46,4.37
AZ,2012,11302,6556344,17.23826572,0.4608,8.3,"$746,034",66.0,391.66,3.82464
AZ,2013,10562,6634690,15.9193572,0.4681,7.7,"$1,853,482",175.5,437.82,3.60437
AZ,2014,10495,6732873,15.58769934,0.4676,6.8,"$2,027,979",193.2,481.97,3.17968
AZ,2015,9896,6832810,14.48306041,0.4702,6.1,"$975,382",98.6,508.89,2.86822
AZ,2016,9707,6944767,13.97743078,0.4713,5.4,"$1,049,855",108.2,544.91,2.54502
AZ,2017,8947,7048088,12.69422289,0.4668,4.9,"$2,638,906",294.9,585.21,2.28732
AZ,2018,9865,7164228,13.76980185,0.4613,4.8,"$2,707,041",274.4,630.4,2.21424
AZ,2019,10007,7291843,13.72355384,0.4591,4.9,"$2,943,129",294.1,674.06,2.24959
AZ,2020,10979,7421401,14.7937027,0.4682,7.9,"$3,296,999",300.3,719.59,3.69878
CA,2009,123678,36961229,33.46154967,0.469,11.2,"$2,479,681",20.0,812.77,5.2528
CA,2010,123480,37319550,33.08721568,0.471,12.2,"$3,583,093",29.0,786.89,5.7462
CA,2011,125128,37636311,33.24661655,0.4812,11.7,"$4,069,850",32.5,742.41,5.63004
CA,2012,120098,37944551,31.65092137,0.4822,10.4,"$4,665,057",38.8,741.63,5.01488
CA,2013,118552,38253768,30.99093402,0.4903,8.9,"$4,761,154",40.2,818.75,4.36367
CA,2014,113952,38586706,29.53141426,0.489,7.5,"$4,955,580",43.5,931.64,3.6675
CA,2015,115738,38904296,29.74941379,0.4876,6.2,"$5,383,907",46.5,985.67,3.02312
CA,2016,118142,39149186,30.17738351,0.4899,5.5,"$5,588,412",47.3,1062.85,2.69445
CA,2017,131532,39337785,33.4365547,0.4866,4.8,"$5,613,361",42.7,1131.14,2.33568
CA,2018,129972,39437463,32.956481,0.4912,4.2,"$5,943,776",45.7,1203.68,2.06304
CA,2019,151278,39437610,38.35881535,0.4866,4.2,"$6,106,082",40.4,1244.06,2.04372
CA,2020,161548,39368078,41.03527736,0.49,10.1,"$6,967,470",43.1,1275.05,4.949
CO,2009,15268,4972195,30.70676029,0.452,7.3,"$324,793",21.3,576.68,3.2996
CO,2010,15482,5047539,30.67237321,0.457,8.7,"$348,702",22.5,553.15,3.9759
CO,2011,15116,5121900,29.5124856,0.4588,8.4,"$360,875",23.9,535.87,3.85392
CO,2012,16768,5193660,32.28551734,0.4579,7.9,"$391,643",23.4,539.95,3.61741
CO,2013,9754,5270774,18.50582097,0.4614,6.9,"$403,183",41.3,568.67,3.18366
CO,2014,10028,5352637,18.73469096,0.4584,5.0,"$417,119",41.6,620.49,2.292
CO,2015,9953,5454328,18.24789415,0.458,3.9,"$863,759",86.8,679.16,1.7862
CO,2016,10550,5543844,19.03011701,0.4586,3.2,"$872,512",82.7,749.32,1.46752
CO,2017,10940,5617421,19.47512925,0.4553,2.7,"$862,882",78.9,814.45,1.22931
CO,2018,10857,5697155,19.05688014,0.4561,3.3,"$889,491",81.9,881.04,1.50513
CO,2019,9619,5758486,16.70404339,0.4548,2.7,"$943,906",98.1,922.98,1.22796
CO,2020,9846,5807719,16.95329957,0.459,7.3,"$1,057,490",107.4,949.56,3.3507
CT,2009,4605,3561807,12.92883079,0.481,7.9,"$582,189",126.4,608.89,3.7999
CT,2010,4316,3579173,12.05865154,0.486,9.1,"$606,113",140.4,584.43,4.4226
CT,2011,4456,3588632,12.41698787,0.4859,8.8,"$634,180",142.3,563.55,4.27592
CT,2012,4209,3595211,11.70724055,0.4915,8.3,"$574,259",136.4,546.92,4.07945
CT,2013,4448,3595792,12.37001473,0.4994,7.8,"$564,679",127.0,542.78,3.89532
CT,2014,4450,3595697,12.37590375,0.5005,6.6,"$586,567",131.8,542.73,3.3033
CT,2015,4047,3588561,11.27750093,0.4916,5.7,"$590,805",146.0,550.19,2.80212
CT,2016,3902,3579830,10.89995894,0.4945,5.1,"$581,232",149.0,550.83,2.52195
CT,2017,3388,3575324,9.476064267,0.4943,4.7,"$527,060",155.6,557.3,2.32321
CT,2018,3976,3574561,11.1230442,0.5014,4.1,"$521,740",131.2,566.3,2.05574
CT,2019,3033,3566022,8.505275626,0.5024,3.6,"$520,959",171.8,578.71,1.80864
CT,2020,2905,3557006,8.166980882,0.49,7.9,"$541,396",186.4,596.22,3.871
DE,2009,1130,891730,12.67199713,0.435,8.3,"$226,752",200.7,528.97,3.6105
DE,2010,982,899647,10.91539237,0.44,8.4,"$248,921",253.5,504.21,3.696
DE,2011,1035,907590,11.40382772,0.4404,7.5,"$259,516",250.7,476.31,3.303
DE,2012,1008,915518,11.01016037,0.4356,7.2,"$267,778",265.7,462.46,3.13632
DE,2013,946,924062,10.23740831,0.4513,6.7,"$288,644",305.1,466.23,3.02371
DE,2014,901,933131,9.655664639,0.4494,5.7,"$319,535",354.6,477.39,2.56158
DE,2015,953,942065,10.11607479,0.4523,4.9,"$348,237",365.4,488.52,2.21627
DE,2016,1070,949989,11.26328831,0.4522,4.5,"$360,390",336.8,498.08,2.0349
DE,2017,994,957942,10.3764111,0.4811,4.5,"$356,771",358.9,508.61,2.16495
DE,2018,1082,966985,11.18941866,0.4587,3.8,"$362,095",334.7,528.62,1.74306
DE,2019,921,976668,9.430021256,0.4509,3.7,"$394,962",428.8,546.08,1.66833
DE,2020,1165,986809,11.80572938,0.45,7.8,"$401,682",344.8,564.34,3.51
FL,2009,55599,18652644,29.80757044,0.469,10.4,"$2,421,602",43.6,413.37,4.8776
FL,2010,57551,18846143,30.53728288,0.474,11.1,"$2,301,815",40.0,373.53,5.2614
FL,2011,56687,19055607,29.74819957,0.4811,10.0,"$2,364,903",41.7,347.86,4.811
FL,2012,55170,19302016,28.58250661,0.4828,8.5,"$2,177,328",39.5,344.72,4.1038
FL,2013,47862,19551678,24.47974031,0.4843,7.2,"$2,181,605",45.6,370.22,3.48696
FL,2014,41542,19853880,20.92386979,0.4834,6.3,"$1,475,261",35.5,408.91,3.04542
FL,2015,35900,20219111,17.75547896,0.4872,5.5,"$1,548,805",43.1,444.89,2.6796
FL,2016,33559,20627237,16.26926573,0.4852,4.8,"$1,926,026",57.4,485.63,2.32896
FL,2017,32190,20977089,15.34531317,0.4859,4.2,"$1,945,598",60.4,526.2,2.04078
FL,2018,31030,21254926,14.59896873,0.4887,3.6,"$2,420,540",78.0,568.1,1.75932
FL,2019,28328,21492056,13.18068406,0.4808,3.3,"$2,771,803",97.8,599.69,1.58664
FL,2020,27487,21733312,12.64740505,0.49,7.7,"$3,113,704",113.3,630.99,3.773
GA,2009,20360,9620846,21.16238011,0.465,9.9,"$1,149,550",56.5,375.41,4.6035
GA,2010,19836,9712209,20.42377795,0.468,10.5,"$1,333,808",67.2,344.42,4.914
GA,2011,20975,9803630,21.39513629,0.477,10.2,"$1,514,225",72.2,319.11,4.8654
GA,2012,20516,9903580,20.71574118,0.4809,9.2,"$1,140,418",55.6,303.29,4.42428
GA,2013,16971,9975592,17.01252417,0.4837,8.2,"$1,098,659",64.7,314.62,3.96634
GA,2014,16521,10071204,16.40419557,0.4801,7.1,"$1,109,607",67.2,338.77,3.40871
GA,2015,13790,10183353,13.54170871,0.4801,6.0,"$1,186,175",86.0,358.23,2.8806
GA,2016,12909,10308442,12.52274592,0.4813,5.4,"$1,278,563",99.0,379.78,2.59902
GA,2017,10174,10417031,9.7666984,0.483,4.7,"$1,326,197",130.4,402.58,2.2701
GA,2018,9499,10519389,9.029992141,0.4822,3.9,"$1,390,827",146.4,432.16,1.88058
GA,2019,10443,10628020,9.825913011,0.4795,3.5,"$1,445,802",138.4,456.57,1.67825
GA,2020,10234,10710017,9.555540388,0.4816,6.5,"$1,576,644",154.1,474.74,3.1304
HI,2009,5782,1346717,42.93403885,0.427,7.2,"$150,847",26.1,771.61,3.0744
HI,2010,5834,1364004,42.77113557,0.433,6.9,"$144,764",24.8,739.93,2.9877
HI,2011,6188,1379562,44.85481624,0.4301,6.8,"$144,060",23.3,727.08,2.92468
HI,2012,6246,1395199,44.76780732,0.4257,6.0,"$106,340",17.0,733.89,2.5542
HI,2013,6335,1408822,44.96664589,0.44,4.9,"$111,123",17.5,766.79,2.156
HI,2014,6918,1415335,48.87888733,0.4325,4.4,"$119,134",17.2,826.38,1.903
HI,2015,7620,1422999,53.54887811,0.4346,3.6,"$118,845",15.6,872.01,1.56456
HI,2016,7921,1428885,55.43483205,0.442,3.0,"$150,765",19.0,929.38,1.326
HI,2017,7220,1425763,50.6395523,0.4455,2.4,"$125,540",17.4,962.97,1.0692
HI,2018,6530,1423102,45.88567791,0.445,2.4,"$120,947",18.5,1007.22,1.068
HI,2019,6412,1415615,45.2948012,0.4397,2.5,"$120,054",18.7,1037.1,1.09925
HI,2020,6458,1407006,45.89888032,0.4369,11.6,"$123,158",19.1,1041.67,5.06804
IA,2009,3380,3032870,11.14455944,0.426,6.4,"$610,178",180.5,369.41,2.7264
IA,2010,3014,3050819,9.879314374,0.427,6.0,"$617,081",204.7,365.69,2.562
IA,2011,3134,3066772,10.21921421,0.434,5.5,"$616,989",196.9,363.59,2.387
IA,2012,2928,3076844,9.516244567,0.4328,5.0,"$574,645",196.3,365.33,2.164
IA,2013,3084,3093935,9.967888789,0.4429,4.7,"$611,550",198.3,370.16,2.08163
IA,2014,3122,3110643,10.03651014,0.4433,4.2,"$612,650",196.2,378.95,1.86186
IA,2015,3081,3122541,9.866964117,0.4393,3.8,"$621,921",201.9,388.98,1.66934
IA,2016,3064,3133210,9.779108327,0.4451,3.6,"$632,153",206.3,402.26,1.60236
IA,2017,2756,3143734,8.766645015,0.4381,3.1,"$649,054",235.5,417.63,1.35811
IA,2018,2749,3149900,8.727261183,0.4413,2.5,"$642,646",233.8,433.03,1.10325
IA,2019,2315,3159596,7.326886096,0.4422,2.8,"$635,240",274.4,446.35,1.23816
IA,2020,2647,3163561,8.367153344,0.44,5.3,"$681,009",257.3,453.91,2.332
ID,2009,1939,1554439,12.47395363,0.426,8.8,"$195,696",100.9,452.75,3.7488
ID,2010,2346,1570819,14.93488429,0.433,9.0,"$167,138",71.2,405.2,3.897
ID,2011,2199,1584272,13.88019229,0.432,8.3,"$188,170",85.6,371.46,3.5856
ID,2012,1968,1595910,12.33152245,0.4302,7.2,"$158,084",80.3,372.39,3.09744
ID,2013,1781,1612053,11.04802386,0.4376,6.1,"$148,699",83.5,391.31,2.66936
ID,2014,2104,1632248,12.89019806,0.4541,4.8,"$145,291",69.1,417.98,2.17968
